mc,uc,nratings,nusers,nmvie,modelsz,L22sz,nv,fittime,evtime
1,5,27716748,266980,53883,13.528159,10.816126,20,11194.346,472.15826
1,10,27565774,243658,53852,13.499616,10.803683,23,12405.15,463.4751
1,20,26544038,174605,53781,13.3646345,10.775215,26,13327.93,469.11862
2,5,27706599,266980,43734,9.835946,7.125387,20,7190.8804,304.24103
2,10,27555656,243658,43734,9.819849,7.125387,23,8030.3833,305.5716
2,20,26533987,174605,43730,9.712043,7.1240835,28,8777.485,286.3375
5,5,27671580,266979,30824,6.2453322,3.539584,23,4049.6167,181.60448
5,10,27520713,243658,30824,6.229243,3.539584,25,3913.8855,136.16142
5,20,26499391,174605,30823,6.122543,3.5393543,18,2949.3943,142.71194
10,5,27624556,266979,23716,4.7962227,2.095373,23,2465.8628,95.06677
10,10,27473781,243658,23716,4.7801423,2.095373,27,2860.669,95.515144
10,20,26452968,174605,23716,4.6737213,2.095373,18,2043.9052,97.16636
15,5,27585626,266979,20400,4.2469144,1.5503929,24,2141.2239,83.87505
15,10,27434948,243658,20400,4.2308435,1.5503929,28,2532.9507,87.11419
15,20,26414555,174605,20400,4.124463,1.5503929,19,1571.836,72.48678
20,5,27551352,266978,18366,3.949749,1.2566459,19,1563.819,80.66754
20,10,27400762,243658,18366,3.9336874,1.2566459,33,2825.257,89.89166
20,20,26380766,174605,18366,3.8273454,1.2566459,21,1774.1753,69.60442
50,5,27394411,266974,13360,3.3426354,0.6649754,26,1665.6656,71.67412
50,10,27244313,243656,13360,3.3266208,0.6649754,30,1937.7285,65.354385
50,20,26226280,174604,13360,3.220469,0.6649754,20,1272.8384,59.05939
